product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
12,product_33,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,20,60%Colombia - 40%Castillo,4,Washed + Thermal Shock,TBC,TBC,35,20.00,0.00,12.75,February 2025,Sold Out,725/30/3 - JRSGPRO,VARIETY 60% CO / 40% CASTILLO - 03/2928/00042,
83,product_34,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,20,60%Colombia - 40%Castillo,4,Washed + Thermal Shock,TBC,TBC,35,20.00,0.00,12.75,August 2025,Sold Out,1125/29/16,JRGSPRO - 60% COLOMBIA / 40% CASTILLO,
88,product_35,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,12,SL-28,1,Washed Advanced Process,TBC,88+,24,2.00,0.00,45.00,August 2025,Sold Out,1125/29/44,WBC-02 - COMPETITION SL-28,1950 masl
100,product_36,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,5,Pink Bourbon,1,Washed Advanced Process,"Grapefruit, guava, passion fruit",89,24,10.00,0.00,37.00,June 2025,Sold Out,1125/29/45,C-09 - PINK BOURBON COMPETITION,1950 masl
47,product_37,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,25,Papayo Competition,1,Washed Advanced Process,"Berry, floral, red wine",90.5,24,4.00,0.00,45.00,April 2025,Sold Out,725/30/38 - C-19,PAPYAYO COMPETITION PARAISO - 03/2928/00077,1950 masl
87,product_38,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,15,Ombligon,1,Washed Advanced Process,TBC,88+,24,2.00,0.00,45.00,August 2025,Sold Out,1125/29/46,WBC-19A - OMBLIGON COMPETITION,1950 masl
42,product_39,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,1,Castillo,1,Washed Advanced Process,"Harribo gummes, milk chocolate, guava",86,24,20.00,0.00,15.00,April 2025,Sold Out,725/30/37,CASTILLO PARAISO - 03/2928/00076,1950 masl
84,product_40,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,1,Castillo,1,Washed Advanced Process,"Harribo gummes, milk chocolate, guava",86,24,10.00,0.00,15.00,August 2025,Sold Out,1125/29/47,WBP-00 - CASTILLO,1950 masl
89,product_41,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,17,Red Bourbon,1,Washed Advanced Process,"Cherry, Raspberry",87,24,6.00,0.00,18.95,August 2025,Sold Out,1125/29/48,WBP-02 - RED BOURBON,1950 masl
85,product_42,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,2,Caturra,1,Washed Advanced Process,"Guava, hops, violet",88,24,10.00,4.00,18.00,August 2025,Available,1125/29/49,WBP-03 - CATURRA,1950 masl
43,product_43,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,2,Caturra,1,Washed Advanced Process,"Guava, hops, violet",88,24,3.00,0.00,18.00,April 2025,Sold Out,725/30/41,CATURRA PARAISO - 03/2928/00080,1950 masl
44,product_44,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,3,Tabi,2,Natural Advanced Process,"Apple, plum, cherry",88,24,5.00,0.00,20.00,April 2025,Sold Out,725/30/36,TABI NATURAL PARAISO - 03/2928/00075,1950 masl
92,product_45,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,10,Yellow Typica,1,Washed Advanced Process,"Peach, plum, orange",88,24,2.00,0.00,20.00,August 2024,Sold Out,1224/48B,YELLOW TYPICA,1950 masl
108,product_46,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,5,Pink Bourbon,1,Washed Advanced Process,"Grapefruit, guava, passion fruit",88,12,6.00,0.00,30.00,August 2025,Sold Out,1125/29/50,WBP-09 - PINK BOURBON,1950 masl
86,product_47,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,5,Pink Bourbon,1,Washed Advanced Process,"Grapefruit, guava, passion fruit",88,24,3.00,0.00,30.00,August 2025,Sold Out,1125/29/50,WBP-09 - PINK BOURBON,1950 masl
45,product_48,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,5,Pink Bourbon,1,Washed Advanced Process,"Grapefruit, guava, passion fruit",88,24,6.00,0.00,30.00,April 2025,Sold Out,725/30/42,PINK BOURBON PARAISO - 03/2928/00081,1950 masl
46,product_49,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,9,Typica ,2,Natural Advanced Process,"Red wine, blackberry and mango",88,24,6.00,0.00,30.00,April 2025,Sold Out,725/30/39,TYPICA PARAISO - 03/2928/00078,1950 masl
50,product_50,19,Colombia,9,Cauca,Granja Paraiso 92,6,producer_5,8,Striped Bourbon,1,Washed Advanced Process,"Lychee, rambutan, raspberry, floral",88+,24,2.00,0.00,35.00,April 2025,Sold Out,725/30/40,STRIPED BOURBON PARAISO - 03/2928/00079,1950 masl
118,product_51,19,Colombia,15,Huila,Quebraditas,9,producer_6,4,Gesha,4,Washed + Thermal Shock,"Floral, peach, tropical fruit",88+,24,10.00,0.00,30.00,December 2025,Sold Out,,,1850masl
